class_name,class_id
Acrochordus granulatus,0
Ahaetulla farnsworthi,1
Ahaetulla isabellina,2
Ahaetulla mycterizans,3
Ahaetulla nasuta,4
Ahaetulla oxyrhyncha,5
Ahaetulla prasina,6
Ahaetulla sahyadrensis,7
Atretium schistosum,8
Boiga beddomei,9
Boiga cyanea,10
Boiga cynodon,11
Boiga forsteni,12
Boiga multomaculata,13
Boiga siamensis,14
Boiga trigonata,15
Bungarus caeruleus,16
Bungarus fasciatus,17
Calamaria pavimentata,18
Calamaria septentrionalis,19
Calliophis nigrescens,20
Cerberus rynchops,21
Cerberus schneiderii,22
Chrysopelea ornata,23
Chrysopelea paradisi,24
Coelognathus flavolineatus,25
Coelognathus helena,26
Coelognathus radiatus,27
Craspedocephalus gramineus,28
Craspedocephalus malabaricus,29
Daboia russelii,30
Dendrelaphis cyanochloris,31
Dendrelaphis girii,32
Dendrelaphis grandoculis,33
Dendrelaphis pictus,34
Dendrelaphis subocularis,35
Dendrelaphis tristis,36
Echis carinatus,37
Elaphe taeniura,38
Eryx conicus,39
Eryx johnii,40
Eryx whitakeri,41
Euprepiophis mandarinus,42
Fowlea flavipunctatus,43
Fowlea piscator,44
Gloydius himalayanus,45
Gonyosoma oxycephalum,46
Hebius beddomei,47
Homalopsis buccata,48
Hydrophis curtus,49
Hydrophis platurus,50
Hydrophis schistosus,51
Hypnale hypnale,52
Hypnale zara,53
Indotyphlops braminus,54
Laticauda colubrina,55
Laticauda laticaudata,56
Lycodon anamallensis,57
Lycodon aulicus,58
Lycodon capucinus,59
Lycodon striatus,60
Lycodon travancoricus,61
Malayopython reticulatus,62
Naja kaouthia,63
Naja naja,64
Oligodon arnensis,65
Oligodon cinereus,66
Oligodon purpurascens,67
Oligodon taeniolatus,68
Ophiophagus hannah,69
Opisthotropis andersonii,70
Oreocryptophis porphyraceus,71
Ovophis monticola,72
Pareas carinatus,73
Pareas margaritophorus,74
Platyceps rhodorachis,75
Protobothrops mucrosquamatus,76
Psammodynastes pulverulentus,77
Psammophis schokari,78
Pseudoxenodon macrops,79
Ptyas carinata,80
Ptyas dhumnades,81
Ptyas korros,82
Ptyas mucosa,83
Python bivittatus,84
Python molurus,85
Rhabdophis chrysargos,86
Rhabdophis subminiatus,87
Sibynophis collaris,88
Sibynophis subpunctatus,89
Sinomicrurus macclellandi,90
Spalerosophis diadema,91
Trimeresurus albolabris,92
Trimeresurus erythrurus,93
Trimeresurus popeiorum,94
Trimeresurus purpureomaculatus,95
Trimeresurus septentrionalis,96
Xenopeltis unicolor,97
