scientific_name,family,venomous_status,iucn_status,source
Acrochordus granulatus,Acrochordidae,non-venomous,LC,ZSI-2025
Eryx conicus,Boidae,non-venomous,LC,ZSI-2025
Eryx johnii,Boidae,non-venomous,NT,ZSI-2025
Eryx whitakeri,Boidae,non-venomous,LC,ZSI-2025
Malayopython reticulatus,Pythonidae,non-venomous,LC,ZSI-2025
Python bivittatus,Pythonidae,non-venomous,VU,ZSI-2025
Python molurus,Pythonidae,non-venomous,NT,ZSI-2025
Xenopeltis unicolor,Xenopeltidae,non-venomous,LC,ZSI-2025
Gerrhopilus andamanensis,Gerrhopilidae,non-venomous,DD,ZSI-2025
Gerrhopilus beddomii,Gerrhopilidae,non-venomous,LC,ZSI-2025
Gerrhopilus mcdowelli,Gerrhopilidae,non-venomous,DD,ZSI-2025
Gerrhopilus oligolepis,Gerrhopilidae,non-venomous,DD,ZSI-2025
Gerrhopilus tindalli,Gerrhopilidae,non-venomous,LC,ZSI-2025
Myriopholis blanfordii,Leptotyphlopidae,non-venomous,LC,ZSI-2025
Myriopholis macrorhyncha,Leptotyphlopidae,non-venomous,LC,ZSI-2025
Argyrophis albiceps,Typhlopidae,non-venomous,LC,ZSI-2025
Argyrophis diardii,Typhlopidae,non-venomous,LC,ZSI-2025
Argyrophis giadinhensis,Typhlopidae,non-venomous,DD,ZSI-2025
Argyrophis muelleri,Typhlopidae,non-venomous,LC,ZSI-2025
Argyrophis oatesii,Typhlopidae,non-venomous,DD,ZSI-2025
Indotyphlops ahsanai,Typhlopidae,non-venomous,DD,ZSI-2025
Indotyphlops braminus,Typhlopidae,non-venomous,LC,ZSI-2025
Indotyphlops jerdoni,Typhlopidae,non-venomous,LC,ZSI-2025
Indotyphlops lazelli,Typhlopidae,non-venomous,DD,ZSI-2025
Indotyphlops meszoelyi,Typhlopidae,non-venomous,DD,ZSI-2025
Indotyphlops pammeces,Typhlopidae,non-venomous,LC,ZSI-2025
Indotyphlops porrectus,Typhlopidae,non-venomous,LC,ZSI-2025
Melanophidium bilineatum,Uropeltidae,non-venomous,DD,ZSI-2025
Melanophidium khairei,Uropeltidae,non-venomous,DD,ZSI-2025
Melanophidium punctatum,Uropeltidae,non-venomous,LC,ZSI-2025
Melanophidium wynaudense,Uropeltidae,non-venomous,LC,ZSI-2025
Platyplectrurus madurensis madurensis,Uropeltidae,non-venomous,EN,ZSI-2025
Platyplectrurus madurensis ruhstrati,Uropeltidae,non-venomous,DD,ZSI-2025
Platyplectrurus trilineatus,Uropeltidae,non-venomous,LC,ZSI-2025
Plectrurus aureus,Uropeltidae,non-venomous,DD,ZSI-2025
Plectrurus canaricus,Uropeltidae,non-venomous,DD,ZSI-2025
Plectrurus guentheri,Uropeltidae,non-venomous,LC,ZSI-2025
Plectrurus perroteti,Uropeltidae,non-venomous,LC,ZSI-2025
Rhinophis fergusonianus,Uropeltidae,non-venomous,DD,ZSI-2025
Rhinophis goweri,Uropeltidae,non-venomous,DD,ZSI-2025
Rhinophis karinthandani,Uropeltidae,non-venomous,NE,ZSI-2025
Rhinophis melanoleucus,Uropeltidae,non-venomous,NE,ZSI-2025
Rhinophis punctatus,Uropeltidae,non-venomous,LC,ZSI-2025
Rhinophis sanguineus,Uropeltidae,non-venomous,LC,ZSI-2025
Rhinophis travancoricus,Uropeltidae,non-venomous,VU,ZSI-2025
Teretrurus hewstoni,Uropeltidae,non-venomous,NE,ZSI-2025
Teretrurus rhodogaster,Uropeltidae,non-venomous,LC,ZSI-2025
Teretrurus travancoricus,Uropeltidae,non-venomous,DD,ZSI-2025
Uropeltis arcticeps,Uropeltidae,non-venomous,LC,ZSI-2025
Uropeltis beddomii,Uropeltidae,non-venomous,LC,ZSI-2025
Uropeltis bhupathyi,Uropeltidae,non-venomous,NE,ZSI-2025
Uropeltis bicatenata,Uropeltidae,non-venomous,LC,ZSI-2025
Uropeltis broughami,Uropeltidae,non-venomous,LC,ZSI-2025
Uropeltis ceylanica,Uropeltidae,non-venomous,LC,ZSI-2025
Uropeltis dindigalensis,Uropeltidae,non-venomous,LC,ZSI-2025
Uropeltis ellioti,Uropeltidae,non-venomous,LC,ZSI-2025
Uropeltis grandis,Uropeltidae,non-venomous,LC,ZSI-2025
Uropeltis kolliensis,Uropeltidae,non-venomous,NE,ZSI-2025
Uropeltis liura,Uropeltidae,non-venomous,LC,ZSI-2025
Uropeltis macrolepis macrolepis,Uropeltidae,non-venomous,LC,ZSI-2025
Uropeltis macrolepis mahabaleshwarensis,Uropeltidae,non-venomous,NE,ZSI-2025
Uropeltis macrorhyncha,Uropeltidae,non-venomous,LC,ZSI-2025
Uropeltis maculata,Uropeltidae,non-venomous,LC,ZSI-2025
Uropeltis madurensis,Uropeltidae,non-venomous,LC,ZSI-2025
Uropeltis myhendrae,Uropeltidae,non-venomous,LC,ZSI-2025
Uropeltis nilgherriensis,Uropeltidae,non-venomous,LC,ZSI-2025
Uropeltis nitida,Uropeltidae,non-venomous,LC,ZSI-2025
Uropeltis ocellata,Uropeltidae,non-venomous,LC,ZSI-2025
Uropeltis perroteti,Uropeltidae,non-venomous,LC,ZSI-2025
Uropeltis petersi,Uropeltidae,non-venomous,LC,ZSI-2025
Uropeltis phipsonii,Uropeltidae,non-venomous,VU,ZSI-2025
Uropeltis pulneyensis,Uropeltidae,non-venomous,LC,ZSI-2025
Uropeltis rajendrani,Uropeltidae,non-venomous,NE,ZSI-2025
Uropeltis rubrolineata,Uropeltidae,non-venomous,LC,ZSI-2025
Uropeltis rubromaculata,Uropeltidae,non-venomous,LC,ZSI-2025
Uropeltis shevaroyensis,Uropeltidae,non-venomous,NE,ZSI-2025
Uropeltis shorttii,Uropeltidae,non-venomous,DD,ZSI-2025
Uropeltis smithi,Uropeltidae,non-venomous,LC,ZSI-2025
Uropeltis snyderi,Uropeltidae,non-venomous,NE,ZSI-2025
Uropeltis starckeae,Uropeltidae,non-venomous,NE,ZSI-2025
Uropeltis woodmasoni,Uropeltidae,non-venomous,LC,ZSI-2025
Ahaetulla farnsworthi,Colubridae,mildly venomous,NE,ZSI-2025
Ahaetulla flavescens,Colubridae,mildly venomous,NE,ZSI-2025
Ahaetulla fronticincta,Colubridae,mildly venomous,LC,ZSI-2025
Ahaetulla isabellina,Colubridae,mildly venomous,NE,ZSI-2025
Ahaetulla laudankia,Colubridae,mildly venomous,NE,ZSI-2025
Ahaetulla mycterizans,Colubridae,mildly venomous,LC,ZSI-2025
Ahaetulla nasuta,Colubridae,mildly venomous,LC,ZSI-2025
Ahaetulla oxyrhyncha,Colubridae,mildly venomous,NE,ZSI-2025
Ahaetulla perroteti,Colubridae,mildly venomous,LC,ZSI-2025
Ahaetulla prasina,Colubridae,mildly venomous,LC,ZSI-2025
Ahaetulla pulverulenta,Colubridae,mildly venomous,LC,ZSI-2025
Ahaetulla sahyadrensis,Colubridae,mildly venomous,NE,ZSI-2025
Ahaetulla travancorica,Colubridae,mildly venomous,NE,ZSI-2025
Archelaphe bella,Colubridae,non-venomous,LC,ZSI-2025
Argyrogena fasciolata,Colubridae,non-venomous,LC,ZSI-2025
Argyrogena vittacaudata,Colubridae,non-venomous,NE,ZSI-2025
Atretium schistosum,Colubridae,non-venomous,LC,ZSI-2025
Blythia hmuifang,Colubridae,non-venomous,NE,ZSI-2025
Blythia reticulata,Colubridae,non-venomous,LC,ZSI-2025
Boiga andamanensis,Colubridae,mildly venomous,LC,ZSI-2025
Boiga barnesii,Colubridae,mildly venomous,LC,ZSI-2025
Boiga beddomei,Colubridae,mildly venomous,LC,ZSI-2025
Boiga ceylonensis,Colubridae,mildly venomous,LC,ZSI-2025
Boiga cyanea,Colubridae,mildly venomous,LC,ZSI-2025
Boiga cynodon,Colubridae,mildly venomous,LC,ZSI-2025
Boiga dightoni,Colubridae,mildly venomous,VU,ZSI-2025
Boiga flaviviridis,Colubridae,mildly venomous,NE,ZSI-2025
Boiga forsteni,Colubridae,mildly venomous,LC,ZSI-2025
Boiga gokool,Colubridae,mildly venomous,LC,ZSI-2025
Boiga multifasciata,Colubridae,mildly venomous,LC,ZSI-2025
Boiga multomaculata,Colubridae,mildly venomous,LC,ZSI-2025
Boiga nuchalis,Colubridae,mildly venomous,LC,ZSI-2025
Boiga ochracea,Colubridae,mildly venomous,LC,ZSI-2025
Boiga quincunciata,Colubridae,mildly venomous,LC,ZSI-2025
Boiga siamensis,Colubridae,mildly venomous,LC,ZSI-2025
Boiga thackerayi,Colubridae,mildly venomous,NE,ZSI-2025
Boiga trigonata,Colubridae,mildly venomous,LC,ZSI-2025
Boiga wallachi,Colubridae,mildly venomous,LC,ZSI-2025
Boiga whitakeri,Colubridae,mildly venomous,NE,ZSI-2025
Calamaria pavimentata,Colubridae,non-venomous,LC,ZSI-2025
Calamaria septentrionalis,Colubridae,non-venomous,LC,ZSI-2025
Chrysopelea ornata,Colubridae,mildly venomous,LC,ZSI-2025
Chrysopelea paradisi,Colubridae,mildly venomous,LC,ZSI-2025
Chrysopelea taprobanica,Colubridae,mildly venomous,LC,ZSI-2025
Coelognathus flavolineatus,Colubridae,non-venomous,LC,ZSI-2025
Coelognathus helena helena,Colubridae,non-venomous,LC,ZSI-2025
Coelognathus helena monticollaris,Colubridae,non-venomous,LC,ZSI-2025
Coelognathus helena nigrilineata,Colubridae,non-venomous,LC,ZSI-2025
Coelognathus radiatus,Colubridae,non-venomous,LC,ZSI-2025
Coronella brachyura,Colubridae,non-venomous,LC,ZSI-2025
Dendrelaphis biloreatus,Colubridae,non-venomous,LC,ZSI-2025
Dendrelaphis cyanochloris,Colubridae,non-venomous,LC,ZSI-2025
Dendrelaphis girii,Colubridae,non-venomous,NE,ZSI-2025
Dendrelaphis gorei,Colubridae,non-venomous,LC,ZSI-2025
Dendrelaphis grandoculis,Colubridae,non-venomous,LC,ZSI-2025
Dendrelaphis humayuni,Colubridae,non-venomous,LC,ZSI-2025
Dendrelaphis pictus,Colubridae,non-venomous,LC,ZSI-2025
Dendrelaphis proarchos,Colubridae,non-venomous,LC,ZSI-2025
Dendrelaphis subocularis,Colubridae,non-venomous,LC,ZSI-2025
Dendrelaphis tristis,Colubridae,non-venomous,LC,ZSI-2025
Dendrelaphis vogeli,Colubridae,non-venomous,LC,ZSI-2025
Dendrelaphis walli,Colubridae,non-venomous,LC,ZSI-2025
Elachistodon westermanni,Colubridae,mildly venomous,LC,ZSI-2025
Elaphe cantoris,Colubridae,non-venomous,LC,ZSI-2025
Elaphe hodgsonii,Colubridae,non-venomous,LC,ZSI-2025
Elaphe taeniura,Colubridae,non-venomous,LC,ZSI-2025
Euprepiophis mandarinus,Colubridae,non-venomous,LC,ZSI-2025
Oreocryptophis porphyraceus porphyraceus,Colubridae,non-venomous,LC,ZSI-2025
Oreocryptophis porphyraceus nigrofasciata,Colubridae,non-venomous,LC,ZSI-2025
Fowlea flavipunctatus,Colubridae,non-venomous,LC,ZSI-2025
Fowlea piscator,Colubridae,non-venomous,LC,ZSI-2025
Fowlea punctatus,Colubridae,non-venomous,LC,ZSI-2025
