scientific_name,family,venomous_status,iucn_status,source,binomial_base,image_count,coverage_status
Indotyphlops braminus,Typhlopidae,non-venomous,LC,ZSI-2025,Indotyphlops braminus,2544,EXCELLENT (>=100)
Ahaetulla prasina,Colubridae,mildly venomous,LC,ZSI-2025,Ahaetulla prasina,1600,EXCELLENT (>=100)
Ptyas mucosa,Colubridae,non-venomous,LC,ZSI-2025,Ptyas mucosa,1273,EXCELLENT (>=100)
Psammodynastes pulverulentus,Psammodynastidae,mildly venomous,LC,ZSI-2025,Psammodynastes pulverulentus,1017,EXCELLENT (>=100)
Trimeresurus albolabris,Viperidae,venomous,LC,ZSI-2025,Trimeresurus albolabris,915,EXCELLENT (>=100)
Dendrelaphis pictus,Colubridae,non-venomous,LC,ZSI-2025,Dendrelaphis pictus,911,EXCELLENT (>=100)
Fowlea piscator,Colubridae,non-venomous,LC,ZSI-2025,Fowlea piscator,725,EXCELLENT (>=100)
Chrysopelea ornata,Colubridae,mildly venomous,LC,ZSI-2025,Chrysopelea ornata,645,EXCELLENT (>=100)
Protobothrops mucrosquamatus,Viperidae,venomous,LC,ZSI-2025,Protobothrops mucrosquamatus,639,EXCELLENT (>=100)
Malayopython reticulatus,Pythonidae,non-venomous,LC,ZSI-2025,Malayopython reticulatus,599,EXCELLENT (>=100)
Lycodon capucinus,Colubridae,non-venomous,LC,ZSI-2025,Lycodon capucinus,599,EXCELLENT (>=100)
Fowlea flavipunctatus,Colubridae,non-venomous,LC,ZSI-2025,Fowlea flavipunctatus,583,EXCELLENT (>=100)
Ptyas korros,Colubridae,non-venomous,LC,ZSI-2025,Ptyas korros,580,EXCELLENT (>=100)
Naja naja,Elapidae,venomous,LC,ZSI-2025,Naja naja,579,EXCELLENT (>=100)
Rhabdophis subminiatus,Colubridae,mildly venomous,LC,ZSI-2025,Rhabdophis subminiatus,527,EXCELLENT (>=100)
Chrysopelea paradisi,Colubridae,mildly venomous,LC,ZSI-2025,Chrysopelea paradisi,503,EXCELLENT (>=100)
Python bivittatus,Pythonidae,non-venomous,VU,ZSI-2025,Python bivittatus,476,EXCELLENT (>=100)
Trimeresurus purpureomaculatus,Viperidae,venomous,LC,ZSI-2025,Trimeresurus purpureomaculatus,409,EXCELLENT (>=100)
Laticauda colubrina,Elapidae,venomous,LC,ZSI-2025,Laticauda colubrina,383,EXCELLENT (>=100)
Craspedocephalus malabaricus,Viperidae,venomous,LC,ZSI-2025,Craspedocephalus malabaricus,352,EXCELLENT (>=100)
Daboia russelii,Viperidae,venomous,LC,ZSI-2025,Daboia russelii,345,EXCELLENT (>=100)
Bungarus fasciatus,Elapidae,venomous,LC,ZSI-2025,Bungarus fasciatus,337,EXCELLENT (>=100)
Coelognathus radiatus,Colubridae,non-venomous,LC,ZSI-2025,Coelognathus radiatus,331,EXCELLENT (>=100)
Hydrophis platurus,Elapidae,venomous,LC,ZSI-2025,Hydrophis platurus,331,EXCELLENT (>=100)
Elaphe taeniura,Colubridae,non-venomous,LC,ZSI-2025,Elaphe taeniura,312,EXCELLENT (>=100)
Lycodon aulicus,Colubridae,non-venomous,LC,ZSI-2025,Lycodon aulicus,306,EXCELLENT (>=100)
Ophiophagus hannah,Elapidae,venomous,VU,ZSI-2025,Ophiophagus hannah,304,EXCELLENT (>=100)
Echis carinatus carinatus,Viperidae,venomous,LC,ZSI-2025,Echis carinatus,289,EXCELLENT (>=100)
Echis carinatus sochureki,Viperidae,venomous,LC,ZSI-2025,Echis carinatus,289,EXCELLENT (>=100)
Dendrelaphis tristis,Colubridae,non-venomous,LC,ZSI-2025,Dendrelaphis tristis,277,EXCELLENT (>=100)
Xenopeltis unicolor,Xenopeltidae,non-venomous,LC,ZSI-2025,Xenopeltis unicolor,264,EXCELLENT (>=100)
Pareas carinatus,Pareidae,non-venomous,LC,ZSI-2025,Pareas carinatus,263,EXCELLENT (>=100)
Gonyosoma oxycephalum,Colubridae,non-venomous,LC,ZSI-2025,Gonyosoma oxycephalum,260,EXCELLENT (>=100)
Craspedocephalus gramineus,Viperidae,venomous,LC,ZSI-2025,Craspedocephalus gramineus,259,EXCELLENT (>=100)
Python molurus,Pythonidae,non-venomous,NT,ZSI-2025,Python molurus,249,EXCELLENT (>=100)
Coelognathus helena monticollaris,Colubridae,non-venomous,LC,ZSI-2025,Coelognathus helena,233,EXCELLENT (>=100)
Coelognathus helena nigrilineata,Colubridae,non-venomous,LC,ZSI-2025,Coelognathus helena,233,EXCELLENT (>=100)
Coelognathus helena helena,Colubridae,non-venomous,LC,ZSI-2025,Coelognathus helena,233,EXCELLENT (>=100)
Boiga multomaculata,Colubridae,mildly venomous,LC,ZSI-2025,Boiga multomaculata,232,EXCELLENT (>=100)
Ptyas dhumnades,Colubridae,non-venomous,LC,ZSI-2025,Ptyas dhumnades,216,EXCELLENT (>=100)
Oligodon arnensis,Colubridae,non-venomous,LC,ZSI-2025,Oligodon arnensis,208,EXCELLENT (>=100)
Hypnale hypnale,Viperidae,venomous,LC,ZSI-2025,Hypnale hypnale,207,EXCELLENT (>=100)
