observation_id,endemic,binomial_name,country,code,class_id,file_path,label
37280107,False,Ptyas korros,Sisaket,TH,1243,1990/Ptyas_korros/59067932.jpg,Ptyas korros
89036460,False,Hypnale hypnale,Tamil Nadu,IN,721,1991/Hypnale_hypnale/146985926.jpg,Hypnale hypnale
90823223,False,Python molurus,Rajasthan,IN,1252,1992/Python_molurus/150139424.jpg,Python molurus
37280105,True,Psammodynastes pulverulentus,Rayong,TH,1173,1992/Psammodynastes_pulverulentus/59067929.jpg,Psammodynastes pulverulentus
37315747,False,Ophiophagus hannah,Chon Buri,TH,1049,1992/Ophiophagus_hannah/59128457.jpg,Ophiophagus hannah
2893147,False,Platyceps rhodorachis,Shabwah,YE,1147,1993/Platyceps_rhodorachis/3308571.jpg,Platyceps rhodorachis
1213449,False,Platyceps rhodorachis,Ma'an,JO,1147,1994/Platyceps_rhodorachis/1531786.JPG,Platyceps rhodorachis
1213449,False,Platyceps rhodorachis,Ma'an,JO,1147,1994/Platyceps_rhodorachis/1531787.JPG,Platyceps rhodorachis
21583231,False,Malayopython reticulatus,East Nusa Tenggara,ID,884,1996/Malayopython_reticulatus/33407849.jpg,Malayopython reticulatus
71991696,False,Naja kaouthia,Lampang,TH,982,1996/Naja_kaouthia/117300927.jpeg,Naja kaouthia
71991696,False,Naja kaouthia,Lampang,TH,982,1996/Naja_kaouthia/117484120.jpeg,Naja kaouthia
37102231,False,Python molurus,Rajasthan,IN,1252,1997/Python_molurus/58762650.jpg,Python molurus
37102231,False,Python molurus,Rajasthan,IN,1252,1997/Python_molurus/58762651.jpg,Python molurus
49563464,False,Ophiophagus hannah,Tamil Nadu,IN,1049,1998/Ophiophagus_hannah/78681344.jpg,Ophiophagus hannah
104055177,False,Chrysopelea paradisi,unknown,SG,305,1999/Chrysopelea_paradisi/174301044.jpg,Chrysopelea paradisi
215607,False,Coelognathus radiatus,Tai Po,HK,315,1999/Coelognathus_radiatus/271906.jpg,Coelognathus radiatus
215608,False,Ophiophagus hannah,Tai Po,HK,1049,1999/Ophiophagus_hannah/271907.jpg,Ophiophagus hannah
43671930,False,Laticauda colubrina,Ranong,TH,778,1999/Laticauda_colubrina/69257599.jpg,Laticauda colubrina
43671930,False,Laticauda colubrina,Ranong,TH,778,1999/Laticauda_colubrina/69257641.jpg,Laticauda colubrina
43671930,False,Laticauda colubrina,Ranong,TH,778,1999/Laticauda_colubrina/69257686.jpg,Laticauda colubrina
461589,False,Dendrelaphis pictus,Bali,ID,444,1999/Dendrelaphis_pictus/582193.jpg,Dendrelaphis pictus
58689176,False,Indotyphlops braminus,Taiwan,TW,742,2000/Indotyphlops_braminus/93718479.jpeg,Indotyphlops braminus
58689327,True,Elaphe taeniura,Taiwan,TW,545,2000/Elaphe_taeniura/93718774.jpeg,Elaphe taeniura
1941470,False,Ophiophagus hannah,unknown,SG,1049,2000/Ophiophagus_hannah/2377109.jpg,Ophiophagus hannah
1889811,False,Malayopython reticulatus,Johor,MY,884,2000/Malayopython_reticulatus/2304506.jpg,Malayopython reticulatus
104055175,False,Ophiophagus hannah,Phetchaburi,TH,1049,2000/Ophiophagus_hannah/174301029.jpg,Ophiophagus hannah
18282714,True,Elaphe taeniura,Taipei,TW,545,2000/Elaphe_taeniura/27931189.jpg,Elaphe taeniura
27268205,False,Calliophis nigrescens,Kerala,IN,247,2001/Calliophis_nigrescens/42408400.jpg,Calliophis nigrescens
27288972,True,Ahaetulla isabellina,Kerala,IN,33,2001/Ahaetulla_isabellina/42442428.jpg,Ahaetulla isabellina
27288972,True,Ahaetulla isabellina,Kerala,IN,33,2001/Ahaetulla_isabellina/42442761.jpg,Ahaetulla isabellina
27411841,False,Python molurus,Rajasthan,IN,1252,2001/Python_molurus/42647920.jpg,Python molurus
85600135,False,Python molurus,Rajasthan,IN,1252,2001/Python_molurus/140868339.jpeg,Python molurus
85600135,False,Python molurus,Rajasthan,IN,1252,2001/Python_molurus/140868341.jpeg,Python molurus
42229413,False,Malayopython reticulatus,Sabah,MY,884,2001/Malayopython_reticulatus/67040367.jpeg,Malayopython reticulatus
14288556,False,Ahaetulla prasina,Johor,MY,38,2001/Ahaetulla_prasina/21217756.jpg,Ahaetulla prasina
97278156,False,Lycodon capucinus,Ranong,TH,838,2002/Lycodon_capucinus/161739206.jpeg,Lycodon capucinus
55597373,False,Python molurus,Rajasthan,IN,1252,2002/Python_molurus/88541733.jpg,Python molurus
2087837,False,Python molurus,Rajasthan,IN,1252,2002/Python_molurus/2497846.jpg,Python molurus
2087837,False,Python molurus,Rajasthan,IN,1252,2002/Python_molurus/2497847.jpg,Python molurus
67200097,False,Fowlea flavipunctatus,Trat,TH,622,2002/Fowlea_flavipunctatus/108513456.jpg,Fowlea flavipunctatus
64669667,False,Rhabdophis chrysargos,Pahang,MY,1266,2002/Rhabdophis_chrysargos/104002001.jpg,Rhabdophis chrysargos
55121652,False,Eryx conicus,Maharashtra,IN,603,2003/Eryx_conicus/87751398.jpeg,Eryx conicus
55121652,False,Eryx conicus,Maharashtra,IN,603,2003/Eryx_conicus/87751402.jpeg,Eryx conicus
55121652,False,Eryx conicus,Maharashtra,IN,603,2003/Eryx_conicus/87751404.jpeg,Eryx conicus
54747641,False,Daboia russelii,Maharashtra,IN,415,2003/Daboia_russelii/87132268.jpeg,Daboia russelii
4953036,False,Laticauda colubrina,Lautem,TL,778,2003/Laticauda_colubrina/8155048.jpeg,Laticauda colubrina
4953036,False,Laticauda colubrina,Lautem,TL,778,2003/Laticauda_colubrina/8155160.jpeg,Laticauda colubrina
274253,False,Rhabdophis subminiatus,Tai Po,HK,1276,2003/Rhabdophis_subminiatus/339164.jpg,Rhabdophis subminiatus
18487316,False,Malayopython reticulatus,Lautem,TL,884,2003/Malayopython_reticulatus/28272088.jpeg,Malayopython reticulatus
77219002,False,Echis carinatus,Gujarat,IN,521,2003/Echis_carinatus/126272576.jpg,Echis carinatus
77219002,False,Echis carinatus,Gujarat,IN,521,2003/Echis_carinatus/126272760.jpg,Echis carinatus
77219002,False,Echis carinatus,Gujarat,IN,521,2003/Echis_carinatus/126272646.jpg,Echis carinatus
225003,False,Trimeresurus albolabris,Wanchai,HK,1463,2003/Trimeresurus_albolabris/283277.jpg,Trimeresurus albolabris
54717670,False,Daboia russelii,Maharashtra,IN,415,2003/Daboia_russelii/87083111.jpeg,Daboia russelii
54717672,False,Naja naja,Maharashtra,IN,985,2003/Naja_naja/87083117.jpeg,Naja naja
54717672,False,Naja naja,Maharashtra,IN,985,2003/Naja_naja/87083114.jpeg,Naja naja
54717672,False,Naja naja,Maharashtra,IN,985,2003/Naja_naja/87083120.jpeg,Naja naja
54717672,False,Naja naja,Maharashtra,IN,985,2003/Naja_naja/87083121.jpeg,Naja naja
13257675,False,Indotyphlops braminus,Taiwan,TW,742,2003/Indotyphlops_braminus/19401855.jpeg,Indotyphlops braminus
